label,cluster_no
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
rice,2
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
